mfo,name
388380,ФРУНЗІВСЬКЕ ВІД. ВАТ"ДЕРЖ.ОЩ.БАНК УКР"
388391,КОМІНТЕРН.  ВІД. ВАТ"ДЕРЖ.ОЩ.БАНК УКР"
388421,ШИРЯЇВСЬКЕ  ВІД. ВАТ"ДЕРЖ.ОЩ.БАНК УКР"
388465,Ф-Я Н4 АКБ "РОСЬ". М.БЄЛГОРОД-ДНІСТРОВ
388595,ВІДДІЛЕННЯ АК ПІБ "КРАЯН" В М.ОДЕСА
388625,ВІД.ПІБ В М.ЮЖНИЙ ОДЕСЬКОЇ ОБЛ.
388755,ФАКБ "НАЦІОНАЛЬНИЙ КРЕДИТ" В М.ОДЕСІ
391010,В.БАГАЧАНСЬКЕ ВІД. 3086 ОБ ПОЛТАВСЬКОЇ
391021,ГАДЯЧСЬКЕ ВІД. 3232 ОБ ПОЛТАВСЬКОЇ
391032,ГЛОБИНСЬКЕ ВІД. 3067 ОБ ПОЛТАВСЬКОЇ
391043,ГРЕБІНКІВСЬКЕ ВІД. 5482 ОБ ПОЛТАВСЬКОЇ
391054,КОБЕЛЯЦЬКЕ ВІД. 3183 ОБ ПОЛТАВСЬКОЇ
391065,КОЗЕЛЬШИНСЬКЕ ВІД. 3071 ОБ ПОЛТАВСЬКОЇ
391076,ПОЛТАВСЬКЕ ОБЛУПРАВЛІННЯ ОБ
391087,КОТЕЛЕВСЬКЕ 6263 ВІД. ОБ ПОЛТАВСЬКОЇ
391098,ОКТЯБРСЬКЕ ВІД. 43 ОБ М.ПОЛТАВА
391106,КРЕМЕНЧУЦЬКЕ ВІД. 7850 ОБ ПОЛТАВСЬКОЇ
391117,ЧОРНУХИНСЬКЕ ВІД. 3109 ОБ ПОЛТАВСЬКОЇ
391128,ЛОХВИЦЬКЕ ВІД. 3087 ОБ ПОЛТАВСЬКОЇ
391139,МІСЬКЕ ВІД. 62 ОБ М.КРЕМЕНЧУК
391140,МАШІВСЬКЕ ВІД. 5473 ОБ ПОЛТАВСЬКОЇ
391151,ДИКАНСЬКЕ 3188 ВІД. ОБ ПОЛТАВСЬКОЇ
391162,ЗІНЬКІВСЬКЕ 3181 ВІД. ОБ ПОЛТАВСЬКОЇ
391173,КАРЛІВСЬКЕ ВІД. 3182 ОБ ПОЛТАВСЬКОЇ
